"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0.8",52,"Large","Controlled interrupted time series(CITS)","-0.5236 (0.2527)","-0.0128 (0.0027)","61.63 (0.5200)","88.01 (0.3500)","0.2527 (0.1196)","0.0640 (0.0010)",-0.5108
"0.8",52,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5156 (0.2901)","-0.0048 (0.0031)","63.49 (0.5200)","80.63 (0.4200)","0.2901 (0.1407)","0.0841 (0.0013)",-0.5108
"0.8",52,"Large","Multivariable negative binomial regression(Trd)","-0.5047 (0.6379)","0.0061 (0.0068)","67.58 (0.5000)","46.54 (0.5400)","0.6379 (0.3486)","0.4069 (0.0064)",-0.5108
"0.8",56,"Small","Controlled interrupted time series(CITS)","-0.0524 (0.2471)","-0.0116 (0.0027)","61.76 (0.5200)","39.66 (0.5200)","0.2471 (0.1167)","0.0612 (0.0010)",-0.0408
"0.8",56,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0415 (0.2859)","-0.0007 (0.0031)","63.32 (0.5200)","37.01 (0.5200)","0.2859 (0.1376)","0.0817 (0.0012)",-0.0408
"0.8",56,"Small","Multivariable negative binomial regression(Trd)","-0.0238 (0.6221)","0.0170 (0.0067)","69.19 (0.5000)","30.88 (0.5000)","0.6221 (0.3477)","0.3872 (0.0059)",-0.0408
"0.8",56,"Moderate","Controlled interrupted time series(CITS)","-0.3715 (0.2449)","-0.0148 (0.0026)","61.71 (0.5200)","73.73 (0.4700)","0.2449 (0.1173)","0.0602 (0.0009)",-0.3567
"0.8",56,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3615 (0.2822)","-0.0048 (0.0030)","63.28 (0.5200)","64.88 (0.5100)","0.2822 (0.1378)","0.0796 (0.0012)",-0.3567
"0.8",56,"Moderate","Multivariable negative binomial regression(Trd)","-0.3453 (0.6310)","0.0114 (0.0068)","67.90 (0.5000)","40.00 (0.5300)","0.6310 (0.3436)","0.3982 (0.0061)",-0.3567
"0.8",56,"Large","Controlled interrupted time series(CITS)","-0.5269 (0.2467)","-0.0161 (0.0026)","61.53 (0.5200)","89.28 (0.3300)","0.2467 (0.1171)","0.0611 (0.0009)",-0.5108
"0.8",56,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5208 (0.2850)","-0.0100 (0.0031)","63.14 (0.5200)","81.71 (0.4100)","0.2850 (0.1380)","0.0813 (0.0012)",-0.5108
"0.8",56,"Large","Multivariable negative binomial regression(Trd)","-0.5109 (0.6302)","-0.0001 (0.0068)","68.42 (0.5000)","46.69 (0.5400)","0.6302 (0.3460)","0.3971 (0.0061)",-0.5108
"0.8",60,"Small","Controlled interrupted time series(CITS)","-0.0515 (0.2371)","-0.0107 (0.0025)","62.06 (0.5200)","38.82 (0.5200)","0.2371 (0.1138)","0.0563 (0.0009)",-0.0408
"0.8",60,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0449 (0.2744)","-0.0041 (0.0029)","63.95 (0.5200)","36.64 (0.5200)","0.2744 (0.1348)","0.0753 (0.0012)",-0.0408
"0.8",60,"Small","Multivariable negative binomial regression(Trd)","-0.0358 (0.6177)","0.0050 (0.0066)","69.13 (0.5000)","31.05 (0.5000)","0.6177 (0.3413)","0.3815 (0.0060)",-0.0408
"0.8",60,"Moderate","Controlled interrupted time series(CITS)","-0.3700 (0.2365)","-0.0133 (0.0025)","62.75 (0.5200)","74.90 (0.4700)","0.2365 (0.1134)","0.0561 (0.0008)",-0.3567
"0.8",60,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3624 (0.2792)","-0.0057 (0.0030)","62.75 (0.5200)","65.07 (0.5100)","0.2792 (0.1348)","0.0780 (0.0012)",-0.3567
"0.8",60,"Moderate","Multivariable negative binomial regression(Trd)","-0.3530 (0.6269)","0.0037 (0.0067)","68.15 (0.5000)","39.50 (0.5200)","0.6269 (0.3432)","0.3930 (0.0060)",-0.3567
"0.8",60,"Large","Controlled interrupted time series(CITS)","-0.5246 (0.2395)","-0.0138 (0.0026)","62.43 (0.5200)","90.24 (0.3200)","0.2395 (0.1143)","0.0576 (0.0009)",-0.5108
"0.8",60,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5150 (0.2797)","-0.0042 (0.0030)","63.59 (0.5200)","81.95 (0.4100)","0.2797 (0.1357)","0.0782 (0.0012)",-0.5108
"0.8",60,"Large","Multivariable negative binomial regression(Trd)","-0.5001 (0.6314)","0.0107 (0.0068)","67.52 (0.5000)","47.19 (0.5400)","0.6314 (0.3407)","0.3988 (0.0060)",-0.5108
"0.8",80,"Small","Controlled interrupted time series(CITS)","-0.0514 (0.2037)","-0.0106 (0.0022)","64.88 (0.5100)","36.23 (0.5200)","0.2037 (0.1010)","0.0416 (0.0006)",-0.0408
"0.8",80,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0423 (0.2473)","-0.0015 (0.0027)","65.55 (0.5100)","35.37 (0.5100)","0.2473 (0.1228)","0.0612 (0.0009)",-0.0408
"0.8",80,"Small","Multivariable negative binomial regression(Trd)","-0.0302 (0.5977)","0.0106 (0.0064)","67.62 (0.5000)","32.56 (0.5000)","0.5977 (0.3189)","0.3573 (0.0055)",-0.0408
"0.8",80,"Moderate","Controlled interrupted time series(CITS)","-0.3716 (0.2012)","-0.0149 (0.0022)","66.08 (0.5100)","81.78 (0.4100)","0.2012 (0.1014)","0.0407 (0.0006)",-0.3567
"0.8",80,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3589 (0.2480)","-0.0022 (0.0027)","64.69 (0.5100)","70.04 (0.4900)","0.2480 (0.1231)","0.0615 (0.0009)",-0.3567
"0.8",80,"Moderate","Multivariable negative binomial regression(Trd)","-0.3561 (0.6152)","0.0006 (0.0066)","65.85 (0.5100)","41.52 (0.5300)","0.6152 (0.3195)","0.3784 (0.0058)",-0.3567
"0.8",80,"Large","Controlled interrupted time series(CITS)","-0.5252 (0.2038)","-0.0144 (0.0022)","64.81 (0.5100)","94.74 (0.2400)","0.2038 (0.1015)","0.0417 (0.0007)",-0.5108
"0.8",80,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5134 (0.2491)","-0.0026 (0.0027)","65.81 (0.5100)","86.16 (0.3700)","0.2491 (0.1230)","0.0621 (0.0010)",-0.5108
"0.8",80,"Large","Multivariable negative binomial regression(Trd)","-0.4973 (0.6083)","0.0135 (0.0065)","66.86 (0.5100)","48.43 (0.5400)","0.6083 (0.3182)","0.3702 (0.0058)",-0.5108
"0.8",100,"Small","Controlled interrupted time series(CITS)","-0.0491 (0.1818)","-0.0083 (0.0020)","70.04 (0.4900)","31.78 (0.5000)","0.1818 (0.1002)","0.0331 (0.0005)",-0.0408
"0.8",100,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0422 (0.2215)","-0.0014 (0.0024)","70.52 (0.4900)","30.44 (0.4900)","0.2215 (0.1239)","0.0491 (0.0007)",-0.0408
"0.8",100,"Small","Multivariable negative binomial regression(Trd)","-0.0407 (0.5596)","0.0001 (0.0060)","71.47 (0.4800)","28.45 (0.4800)","0.5596 (0.3182)","0.3132 (0.0050)",-0.0408
"0.8",100,"Moderate","Controlled interrupted time series(CITS)","-0.3727 (0.1840)","-0.0160 (0.0020)","69.04 (0.5000)","83.78 (0.4000)","0.1840 (0.1004)","0.0341 (0.0005)",-0.3567
"0.8",100,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3651 (0.2248)","-0.0084 (0.0024)","70.74 (0.4900)","71.65 (0.4800)","0.2248 (0.1240)","0.0506 (0.0008)",-0.3567
"0.8",100,"Moderate","Multivariable negative binomial regression(Trd)","-0.3614 (0.5702)","-0.0047 (0.0061)","70.03 (0.4900)","39.63 (0.5200)","0.5702 (0.3168)","0.3251 (0.0050)",-0.3567
"0.8",100,"Large","Controlled interrupted time series(CITS)","-0.5259 (0.1829)","-0.0151 (0.0020)","69.91 (0.4900)","96.62 (0.1900)","0.1829 (0.1005)","0.0337 (0.0005)",-0.5108
"0.8",100,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5124 (0.2270)","-0.0016 (0.0024)","69.80 (0.4900)","88.06 (0.3500)","0.2270 (0.1240)","0.0515 (0.0008)",-0.5108
"0.8",100,"Large","Multivariable negative binomial regression(Trd)","-0.5125 (0.5681)","-0.0017 (0.0061)","69.49 (0.4900)","47.41 (0.5400)","0.5681 (0.3175)","0.3227 (0.0049)",-0.5108
"0.8",150,"Small","Controlled interrupted time series(CITS)","-0.0494 (0.1482)","-0.0086 (0.0016)","71.16 (0.4900)","30.65 (0.4900)","0.1482 (0.0838)","0.0220 (0.0003)",-0.0408
"0.8",150,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0422 (0.1870)","-0.0014 (0.0020)","71.97 (0.4800)","28.94 (0.4900)","0.1870 (0.1063)","0.0350 (0.0005)",-0.0408
"0.8",150,"Small","Multivariable negative binomial regression(Trd)","-0.0518 (0.4850)","-0.0110 (0.0052)","71.01 (0.4900)","29.02 (0.4900)","0.4850 (0.2759)","0.2353 (0.0035)",-0.0408
"0.8",150,"Moderate","Controlled interrupted time series(CITS)","-0.3701 (0.1495)","-0.0134 (0.0016)","70.60 (0.4900)","91.48 (0.3000)","0.1495 (0.0841)","0.0225 (0.0003)",-0.3567
"0.8",150,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3565 (0.1856)","0.0002 (0.0020)","71.97 (0.4800)","79.01 (0.4400)","0.1856 (0.1064)","0.0345 (0.0005)",-0.3567
"0.8",150,"Moderate","Multivariable negative binomial regression(Trd)","-0.3545 (0.4940)","0.0022 (0.0053)","71.28 (0.4900)","40.92 (0.5300)","0.4940 (0.2771)","0.2440 (0.0039)",-0.3567
"0.8",150,"Large","Controlled interrupted time series(CITS)","-0.5261 (0.1490)","-0.0153 (0.0016)","71.59 (0.4800)","99.22 (0.0900)","0.1490 (0.0843)","0.0224 (0.0003)",-0.5108
"0.8",150,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5116 (0.1883)","-0.0008 (0.0020)","72.35 (0.4800)","94.69 (0.2400)","0.1883 (0.1065)","0.0355 (0.0005)",-0.5108
"0.8",150,"Large","Multivariable negative binomial regression(Trd)","-0.5081 (0.4948)","0.0027 (0.0053)","70.61 (0.4900)","50.89 (0.5400)","0.4948 (0.2781)","0.2448 (0.0038)",-0.5108
